FAA-Stream,39330200,SWA642,06/22/2013 12:02:10 AM,-97.4833333333333,40.9333333333333,270.0,419,380,B737,SWA,KMDW,KLAS,JET,COMMERCIAL,ACTIVE,GA,"-97.4833333333333,40.9333333333333,380.0"
FAA-Stream,63558057,N81PK,06/22/2013 12:02:20 AM,-94.9,29.5666666666667,90.0,102,68,P32R,N,EFD,BTR,PISTON,GENERALAVIATION,ACTIVE,GA,"-94.9,29.5666666666667,68.0"
FAA-Stream,1805779,UAL1269,06/22/2013 12:02:10 AM,-93.6833333333333,48.8166666666667,336.264453729904,440,360,B738,UAL,KORD,PAFA,JET,COMMERCIAL,ACTIVE,GA,"-93.6833333333333,48.8166666666667,360.0"
FAA-Stream,58246394,AWE53,06/22/2013 12:01:48 AM,-97.9166666666667,41.45,65.1284642940411,488,350,A321,AWE,KPHX,KMSP,JET,COMMERCIAL,ACTIVE,GA,"-97.9166666666667,41.45,350.0"
FAA-Stream,36719178,DAL1874,06/22/2013 12:02:21 AM,-88.0666666666667,42.4333333333333,180.0,397,177,MD88,DAL,KMKE,KATL,JET,COMMERCIAL,ACTIVE,GA,"-88.0666666666667,42.4333333333333,177.0"
FAA-Stream,63968212,UAL868,06/22/2013 12:02:03 AM,-122.083333333333,37.2166666666667,158.29304209243,275,87,A320,UAL,MMSD,KSFO,JET,COMMERCIAL,ACTIVE,GA,"-122.083333333333,37.2166666666667,87.0"
FAA-Stream,36435976,EJM93,06/22/2013 12:02:10 AM,-105.966666666667,43.15,57.7028485701305,518,431,C750,EJM,KSFO,KSTP,JET,COMMERCIAL,ACTIVE,GA,"-105.966666666667,43.15,431.0"
FAA-Stream,48447078,TCF3509,06/22/2013 12:01:58 AM,-98.35,40.65,56.6176332783198,414,340,E170,TCF,KMSP,KDEN,JET,COMMERCIAL,ACTIVE,GA,"-98.35,40.65,340.0"
FAA-Stream,54017493,N400KP,06/22/2013 12:02:06 AM,-112.216666666667,42.0166666666667,5.66828667472183,478,332,BE40,N,KLAS,KIDA,JET,GENERALAVIATION,ACTIVE,GA,"-112.216666666667,42.0166666666667,332.0"
FAA-Stream,15761862,JZA986,06/22/2013 12:00:00 AM,-74.0833333333333,45.3333333333333,60.3743719462807,260,80,N/A,JZA,N/A,N/A,N/A,N/A,N/A,N/A,"-74.0833333333333,45.3333333333333,80.0"
